State, 2018 Median income,2017 Median income,2016 Median income,2015 Median income
United States,"63,179","61,372","59,039","56,516"
Alabama,"49,936","51,113","47,221","44,509"
Alaska,"68,734","72,231","75,723","75,112"
Arizona,"62,283","61,125","57,100","52,248"
Arkansas,"49,781","48,829","45,907","42,798"
California,"70,489","69,759","66,637","63,636"
Colorado,"73,034","74,172","70,566","66,596"
Connecticut,"72,812","72,780","75,923","72,889"
Delaware,"65,012","62,318","58,046","57,756"
D.C.,"85,750","83,382","70,982","70,071"
Florida,"54,644","53,681","51,176","48,825"
Georgia,"55,821","57,016","53,527","50,768"
Hawaii,"80,108","73,575","72,133","64,514"
Idaho,"58,728","60,208","56,564","51,624"
Illinois,"70,145","64,609","61,386","60,413"
Indiana,"59,892","58,873","56,094","51,983"
Iowa,"68,718","63,481","59,094","60,855"
Kansas,"63,938","57,872","56,810","54,865"
Kentucky,"54,555","51,348","45,369","42,387"
Louisiana,"49,973","43,903","42,196","45,922"
Maine,"58,663","51,664","50,856","50,756"
Maryland,"86,223","81,084","73,760","73,594"
Massachusetts,"86,345","73,227","72,266","67,861"
Michigan,"60,449","57,700","57,091","54,203"
Minnesota,"71,817","71,920","70,218","68,730"
Mississippi,"42,781","43,441","41,099","40,037"
Missouri,"61,726","56,885","55,016","59,196"
Montana,"57,679","59,087","57,075","51,395"
Nebraska,"67,575","59,619","59,374","60,474"
Nevada,"61,864","56,550","55,431","52,008"
New Hampshire,"81,346","74,801","76,260","75,675"
New Jersey,"74,176","72,997","68,468","68,357"
New Mexico,"48,283","47,855","48,451","45,119"
New York,"67,274","62,447","61,437","58,005"
North Carolina,"53,369","50,343","53,764","50,797"
North Dakota,"66,505","59,886","60,184","57,415"
Ohio,"61,633","59,768","53,985","53,301"
Oklahoma,"54,434","55,006","50,943","47,077"
Oregon,"69,165","64,610","59,135","60,834"
Pennsylvania,"64,524","63,173","60,979","60,389"
Rhode Island,"62,266","66,390","61,528","55,701"
South Carolina,"57,444","54,971","54,336","46,360"
South Dakota,"59,463","56,894","57,450","55,065"
Tennessee,"56,060","55,240","51,344","47,330"
Texas,"59,785","59,295","58,146","56,473"
Utah,"77,067","71,319","67,481","66,258"
Vermont,"70,066","63,805","60,837","59,494"
Virginia,"77,151","71,293","66,451","61,486"
Washington,"79,726","75,418","70,310","67,243"
West Virginia,"50,573","45,392","44,354","42,824"
Wisconsin,"62,629","63,451","59,817","55,425"
Wyoming,"62,539","57,837","57,829","60,925"
