state,wineries
Alabama,9
Alaska,8
Arizona,26
Arkansas,10
California,2025
Colorado,72
Connecticut,28
Delaware,2
Florida,46
Georgia,20
Hawaii,4
Idaho,32
Illinois,83
Indiana,40
Iowa,62
Kansas,16
Kentucky,44
Louisiana,7
Maine,14
Maryland,31
Massachusetts,31
Michigan,112
Minnesota,26
Mississippi,2
Missouri,86
Montana,10
Nebraska,20
Nevada,5
New Hampshire,10
New Jersey,41
New Mexico,36
New York,239
North Carolina,74
North Dakota,8
Ohio,108
Oklahoma,46
Oregon,295
Pennsylvania,115
Rhode Island,7
South Carolina,11
South Dakota,14
Tennessee,29
Texas,136
Utah,7
Vermont,14
Virginia,140
Washington,451
West Virginia,16
Wisconsin,41
Wyoming,3
